d,disregistry,energy,energy_inf,label,stacking
2.8,0.0,-154.5621774347695,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.81,0.0,-154.56460826361678,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.82,0.0,-154.566942884088,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.83,0.0,-154.5691845897442,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.84,0.0,-154.57133656719608,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.85,0.0,-154.57340189948408,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.86,0.0,-154.57538356935325,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.87,0.0,-154.57728446242646,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.88,0.0,-154.57910737027933,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.89,0.0,-154.58085499341945,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.9,0.0,-154.58252994417302,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.91,0.0,-154.58413474948182,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.92,0.0,-154.58567185361298,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.93,0.0,-154.58714362078473,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.94,0.0,-154.58855233770984,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.95,0.0,-154.58990021606044,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.96,0.0,-154.59118939485543,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.97,0.0,-154.59242194277368,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.98,0.0,-154.5935998603952,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
2.99,0.0,-154.5947250823718,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.0,0.0,-154.59579947953063,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.01,0.0,-154.59682486091137,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.02,0.0,-154.59780297573997,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.03,0.0,-154.59873551534065,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.04,0.0,-154.59962411498802,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.05,0.0,-154.60047035570105,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.06,0.0,-154.60127576598103,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.07,0.0,-154.6020418234948,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.08,0.0,-154.60276995670543,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.09,0.0,-154.6034615464515,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.1,0.0,-154.60411792747692,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.11,0.0,-154.6047403899125,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
3.12,0.0,-154.60533018071115,-154.58945602061183,fit-bootstrap/QMC-14-kT0.004,AB
