d,disregistry,energy,energy_inf,label,stacking
2.8,0.0,-154.56363878448852,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.81,0.0,-154.56600683192374,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.82,0.0,-154.56828072207227,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.83,0.0,-154.5704636910709,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.84,0.0,-154.57255886952598,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.85,0.0,-154.57456928586413,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.86,0.0,-154.57649786957884,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.87,0.0,-154.57834745437523,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.88,0.0,-154.58012078121723,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.89,0.0,-154.58182050127908,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.9,0.0,-154.58344917880493,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.91,0.0,-154.58500929387884,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.92,0.0,-154.58650324510825,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.93,0.0,-154.58793335222344,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.94,0.0,-154.58930185859552,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.95,0.0,-154.59061093367566,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.96,0.0,-154.59186267535782,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.97,0.0,-154.59305911226733,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.98,0.0,-154.59420220597778,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
2.99,0.0,-154.5952938531583,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.0,0.0,-154.59633588765323,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.01,0.0,-154.59733008249682,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.02,0.0,-154.59827815186418,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.03,0.0,-154.59918175296121,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.04,0.0,-154.6000424878548,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.05,0.0,-154.60086190524564,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.06,0.0,-154.60164150218503,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.07,0.0,-154.60238272573758,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.08,0.0,-154.60308697459166,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.09,0.0,-154.60375560061888,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.1,0.0,-154.60438991038436,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.11,0.0,-154.60499116660944,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.12,0.0,-154.60556058958795,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.13,0.0,-154.60609935855805,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.14,0.0,-154.60660861303032,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.15,0.0,-154.60708945407404,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.16,0.0,-154.60754294556273,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.17,0.0,-154.60797011538014,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.18,0.0,-154.60837195658817,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.19,0.0,-154.6087494285576,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.2,0.0,-154.609103458063,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.21,0.0,-154.609434940343,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.22,0.0,-154.6097447401267,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.23,0.0,-154.61003369262755,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.24,0.0,-154.61030260450573,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.25,0.0,-154.61055225479967,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
3.26,0.0,-154.61078339582818,-154.58972125322387,fit-bootstrap/QMC-05-kT0.004,AB
