stacking,disregistry,d,energy,energy_err
AB,0.0,3.0,-0.008336017327309264,0.000328408589617592
AB,0.0,3.2,-0.018744019076962104,0.0002776689914920026
AB,0.0,3.35,-0.02206614269235274,0.00026426731442532453
AB,0.0,3.5,-0.02271928750627694,0.00028204025445310887
AB,0.0,3.65,-0.020950712798281756,0.000373903996584975
AB,0.0,3.8,-0.018707829608018756,0.00023016355784434423
AB,0.0,4.0,-0.01651280933086241,0.00027804048347075173
AB,0.0,4.5,-0.009947181465889798,0.00025579384749631714
AB,0.0,5.0,-0.0060967428670437585,0.00023527671014632564
AB,0.0,6.0,-0.0032806890553729318,0.0002174740754617492
AB,0.0,7.0,-0.0023628741777486084,0.00022122277072332842
SP,0.16667,3.0,-0.005135574014019539,0.0001449699432391637
SP,0.16667,3.2,-0.01790623761377219,0.0001745750961273366
SP,0.16667,3.35,-0.021223679468192813,0.00014675773809715698
SP,0.16667,3.5,-0.022206048696858716,0.00016366168398396577
SP,0.16667,3.65,-0.02115679129516934,0.00019361766089320687
SP,0.16667,3.8,-0.018934566363355998,0.00026248349926866145
SP,0.16667,4.0,-0.016014623586357857,0.00015248515987643604
SP,0.16667,4.5,-0.00992179649603031,0.00019675091359330364
SP,0.16667,5.0,-0.005740800442680438,0.0001811920852881056
SP,0.16667,6.0,-0.002986403206250543,0.00017093685666960706
SP,0.16667,7.0,-0.0019169989257648012,0.00015226179678324943
Mid,0.5,3.0,0.0030654497076909593,0.0002839309666854704
Mid,0.5,3.2,-0.01289979898791671,0.0002119590097386526
Mid,0.5,3.35,-0.01785613800169017,0.0002741314913113757
Mid,0.5,3.5,-0.01960465584056692,0.0002712241272906982
Mid,0.5,3.65,-0.01994680477878319,0.0002740886824627545
Mid,0.5,3.8,-0.018326445776978062,0.00021677187716301495
Mid,0.5,4.0,-0.015923047178233674,0.00022923379666264058
Mid,0.5,4.5,-0.009672328637691407,0.0002388315661657376
Mid,0.5,5.0,-0.006023446377184882,0.00033187456505889124
Mid,0.5,6.0,-0.0030417974298302397,0.00020563647212970817
Mid,0.5,7.0,-0.0022031822426242798,0.00021475882160286127
AA,0.66667,3.0,0.019887051945318035,0.00020291739523343503
AA,0.66667,3.2,-0.004383792597309366,0.00040647329311042886
AA,0.66667,3.35,-0.013357759718644502,0.00024371131382122646
AA,0.66667,3.5,-0.01694904610937442,0.0002878172604445547
AA,0.66667,3.65,-0.01816940071361728,0.00030420912111045267
AA,0.66667,3.8,-0.017019737117522027,0.00022497705849020122
AA,0.66667,4.0,-0.01528801381718381,0.00037086559148007727
AA,0.66667,4.5,-0.010045544164285047,0.0002508774695371889
AA,0.66667,5.0,-0.005878873974893395,0.00027757293303028424
AA,0.66667,6.0,-0.0032173868798111016,0.0002369961091182125
AA,0.66667,7.0,-0.0016978690215978531,0.00031879963305505215
