d,disregistry,energy,energy_inf,label,stacking
2.8,0.0,-154.56876368005118,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.81,0.0,-154.57087507882477,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.82,0.0,-154.57290306747078,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.83,0.0,-154.57485047078768,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.84,0.0,-154.57672002316804,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.85,0.0,-154.57851437140656,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.86,0.0,-154.58023607742263,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.87,0.0,-154.58188762090023,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.88,0.0,-154.5834714018473,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.89,0.0,-154.58498974307727,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.9,0.0,-154.58644489261505,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.91,0.0,-154.58783902602949,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.92,0.0,-154.58917424869475,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.93,0.0,-154.59045259798276,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.94,0.0,-154.59167604538848,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.95,0.0,-154.59284649859032,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.96,0.0,-154.59396580344762,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.97,0.0,-154.5950357459368,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.98,0.0,-154.59605805402842,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
2.99,0.0,-154.5970343995066,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.0,0.0,-154.59796639973277,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.01,0.0,-154.5988556193551,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.02,0.0,-154.59970357196573,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.03,0.0,-154.60051172170694,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.04,0.0,-154.60128148482795,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.05,0.0,-154.60201423119392,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.06,0.0,-154.60271128574846,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.07,0.0,-154.60337392993114,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.08,0.0,-154.60400340305125,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.09,0.0,-154.6046009036194,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.1,0.0,-154.60516759063782,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.11,0.0,-154.605704584851,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.12,0.0,-154.60621296995762,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.13,0.0,-154.606693793785,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.14,0.0,-154.6071480694275,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.15,0.0,-154.6075767763491,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.16,0.0,-154.60798086145266,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.17,0.0,-154.60836124011533,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.18,0.0,-154.60871879719227,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.19,0.0,-154.60905438798918,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.2,0.0,-154.60936883920442,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.21,0.0,-154.60966294984226,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.22,0.0,-154.6099374920974,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.23,0.0,-154.61019321221212,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
3.24,0.0,-154.61043083130687,-154.59045444660717,fit-bootstrap/QMC-03-kTinf,AB
