d,disregistry,energy,energy_inf,label,stacking
2.8,0.0,-154.56646663972938,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.81,0.0,-154.56863153848025,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.82,0.0,-154.57071368999578,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.83,0.0,-154.57271579604642,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.84,0.0,-154.57464047526804,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.85,0.0,-154.57649026563774,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.86,0.0,-154.57826762687722,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.87,0.0,-154.57997494278675,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.88,0.0,-154.5816145235111,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.89,0.0,-154.58318860773954,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.9,0.0,-154.58469936484175,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.91,0.0,-154.58614889694172,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.92,0.0,-154.58753924093074,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.93,0.0,-154.58887237042202,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.94,0.0,-154.59015019764817,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.95,0.0,-154.5913745753029,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.96,0.0,-154.59254729832927,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.97,0.0,-154.5936701056554,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.98,0.0,-154.59474468187926,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
2.99,0.0,-154.5957726589042,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.0,0.0,-154.59675561752653,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.01,0.0,-154.59769508897628,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.02,0.0,-154.59859255641297,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.03,0.0,-154.59944945637722,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.04,0.0,-154.60026718019978,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.05,0.0,-154.6010470753689,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.06,0.0,-154.60179044685768,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.07,0.0,-154.60249855841195,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.08,0.0,-154.60317263380057,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.09,0.0,-154.60381385802845,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.1,0.0,-154.6044233785139,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.11,0.0,-154.60500230623114,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.12,0.0,-154.60555171681912,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.13,0.0,-154.60607265165729,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.14,0.0,-154.60656611890968,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
3.15,0.0,-154.60703309453805,-154.58929550036262,fit-bootstrap/QMC-19-kT0.004,AB
