written by TR 
1.000000000 
70.200368300 0.000000000 0.000000000 
0.000000000 121.590605000 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
6536
Cartesian 
0.22857200 9.81929000 2.99123000 
0.91086600 8.57624000 2.98606000 
0.17601600 7.36413000 2.97942000 
0.85727200 6.12054000 2.97113000 
0.12081700 4.90934000 2.96129000 
0.80024900 3.66487000 2.95203000 
0.06179660 2.45473000 2.94304000 
0.73968900 1.20951000 2.93790000 
-0.00000652 0.00000163 2.93516000 
3.06158000 9.75519000 2.99152000 
2.32820000 8.54212000 2.98712000 
3.00891000 7.29805000 2.98219000 
2.27453000 6.08556000 2.97347000 
2.95389000 4.84086000 2.96726000 
2.21749000 3.62947000 2.95597000 
2.89550000 2.38421000 2.95205000 
2.15696000 1.17397000 2.94304000 
4.47882000 9.72209000 2.99244000 
5.15919000 8.47773000 2.99047000 
4.42607000 7.26441000 2.98528000 
5.10553000 6.01966000 2.98231000 
4.37102000 4.80705000 2.97342000 
5.04938000 3.56190000 2.97122000 
4.31267000 2.35045000 2.96124000 
4.99059000 1.10529000 2.96288000 
7.30926000 9.65864000 2.99468000 
6.57635000 8.44518000 2.99248000 
7.25630000 7.20064000 2.99196000 
6.52264000 5.98747000 2.98701000 
7.20175000 4.74267000 2.98633000 
6.46649000 3.53026000 2.97925000 
7.14505000 2.28541000 2.98018000 
6.40781000 1.07406000 2.97340000 
8.72651000 9.62644000 2.99614000 
9.40725000 8.38232000 2.99711000 
8.67350000 7.16925000 2.99453000 
9.35371000 5.92501000 2.99486000 
8.61892000 4.71235000 2.99090000 
9.29851000 3.46800000 2.99133000 
8.56225000 2.25601000 2.98692000 
9.24169000 1.01181000 2.98860000 
0.50639500 8.60824000 6.41367000 
0.56000800 6.15384000 6.42878000 
0.61703900 3.69968000 6.44796000 
0.67761900 1.24534000 6.46210000 
-0.00000386 -0.00000044 6.46484000 
2.60779000 9.88447000 6.40804000 
1.92399000 8.64251000 6.41299000 
2.66041000 7.43136000 6.41769000 
1.97752000 6.18894000 6.42659000 
2.71537000 4.97858000 6.43274000 
2.03446000 3.73514000 6.44403000 
2.77375000 2.52547000 6.44797000 
2.09496000 1.28089000 6.45696000 
2.83463000 0.07131510 6.45456000 
4.02557000 9.91788000 6.40752000 
4.76234000 8.70686000 6.40953000 
4.07814000 7.46530000 6.41472000 
4.81584000 6.25482000 6.41781000 
4.13298000 5.01259000 6.42653000 
4.87190000 3.80269000 6.42888000 
4.19120000 2.55930000 6.43872000 
4.93067000 1.34955000 6.43716000 
4.25192000 0.10502800 6.44404000 
6.86468000 9.98118000 6.40573000 
6.18017000 8.73982000 6.40756000 
6.91745000 7.52901000 6.40848000 
6.23360000 6.28734000 6.41288000 
6.97181000 5.07696000 6.41394000 
6.28951000 3.83451000 6.42058000 
7.02844000 2.62435000 6.41995000 
6.34808000 1.38083000 6.42653000 
7.08674000 0.17036400 6.42257000 
8.28250000 10.01390000 6.40411000 
9.01912000 8.80256000 6.40378000 
8.33521000 7.56085000 6.40543000 
9.07242000 6.34978000 6.40566000 
8.38948000 5.10760000 6.40877000 
9.12745000 3.89681000 6.40884000 
8.44594000 2.65390000 6.41280000 
9.18421000 1.44311000 6.41143000 
8.50407000 0.19944200 6.41473000 
11.55850000 9.56391000 3.00225000 
10.82460000 8.35100000 2.99928000 
11.50600000 7.10739000 3.00022000 
10.77100000 5.89493000 2.99708000 
11.45180000 4.65120000 2.99722000 
10.71580000 3.43917000 2.99423000 
11.39600000 2.19534000 2.99442000 
10.65900000 0.98373200 2.99231000 
12.97590000 9.53283000 3.00615000 
13.65820000 8.28971000 3.00761000 
12.92340000 7.07724000 3.00279000 
13.60530000 5.83410000 3.00291000 
12.86920000 4.62219000 2.99882000 
13.55040000 3.37882000 2.99823000 
12.81330000 2.16725000 2.99563000 
13.49390000 0.92367000 2.99541000 
15.80940000 9.47353000 3.01990000 
15.07570000 8.26030000 3.01259000 
15.75830000 7.01754000 3.01318000 
15.02270000 5.80533000 3.00619000 
15.70470000 4.56237000 3.00544000 
14.96770000 3.35076000 3.00002000 
15.64880000 2.10743000 2.99921000 
14.91130000 0.89602300 2.99646000 
17.22680000 9.44624000 3.02727000 
17.90970000 8.20361000 3.02897000 
17.17570000 6.99032000 3.01948000 
17.85810000 5.74761000 3.01926000 
17.12210000 4.53541000 3.01019000 
17.80350000 3.29235000 3.00920000 
17.06610000 2.08075000 3.00255000 
17.74670000 0.83726900 3.00264000 
20.05860000 9.39416000 3.04714000 
19.32700000 8.17915000 3.03727000 
20.00980000 6.93657000 3.03820000 
19.27550000 5.72307000 3.02699000 
19.95730000 4.48025000 3.02621000 
19.22090000 3.26789000 3.01584000 
19.90170000 2.02466000 3.01532000 
19.16410000 0.81285300 3.00827000 
11.12070000 10.07630000 6.39870000 
10.43680000 8.83444000 6.40070000 
11.17290000 7.62268000 6.40051000 
10.49000000 6.38034000 6.40244000 
11.22680000 5.16880000 6.40294000 
10.54500000 3.92595000 6.40512000 
11.28240000 2.71464000 6.40547000 
10.60160000 1.47129000 6.40739000 
11.33920000 0.25997400 6.40665000 
12.53830000 10.10800000 6.39319000 
13.27360000 8.89574000 6.39308000 
12.59040000 7.65343000 6.39659000 
13.32610000 6.44123000 6.39744000 
12.64420000 5.19826000 6.40021000 
13.38080000 3.98638000 6.40157000 
12.69980000 2.74298000 6.40356000 
13.43700000 1.53140000 6.40440000 
12.75650000 0.28778400 6.40528000 
15.37550000 10.16740000 6.38034000 
14.69110000 8.92584000 6.38663000 
15.42610000 7.71320000 6.38807000 
14.74350000 6.47055000 6.39319000 
15.47930000 5.25817000 6.39520000 
14.79810000 4.01481000 6.39911000 
15.53480000 2.80286000 6.40080000 
