label,disregistry,d,energy,energy_inf,stacking
fit/DFT-D2-kTinf,0.0,3.52,-154.91240625826194,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.53,-154.91227592981033,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.54,-154.91214352357838,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.55,-154.9120091802519,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.56,-154.91187303511302,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.57,-154.91173521822222,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.58,-154.9115958545948,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.59,-154.9114550643715,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.6,-154.91131296298377,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.61,-154.9111696613138,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.62,-154.91102526584913,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.63,-154.91087987883265,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.64,-154.91073359840752,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.65,-154.91058651875758,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.66,-154.91043873024324,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.67,-154.91029031953275,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.68,-154.91014136972953,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.69,-154.9099919604953,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.7,-154.90984216816906,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.71,-154.90969206588247,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.72,-154.90954172367134,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.73,-154.9093912085834,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.74,-154.90924058478294,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.75,-154.90908991365148,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.76,-154.90893925388585,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.77,-154.9087886615923,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.78,-154.9086381903783,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.79,-154.90848789144076,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.8,-154.9083378136516,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.81,-154.90818800364056,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.82,-154.90803850587523,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.83,-154.90788936273833,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.84,-154.90774061460272,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.85,-154.90759229990363,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.86,-154.90744445520883,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.87,-154.90729711528616,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.88,-154.90715031316904,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.89,-154.90700408021974,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.9,-154.90685844619054,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.91,-154.90671343928298,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.92,-154.90656908620485,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.93,-154.90642541222564,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.94,-154.90628244122982,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.95,-154.90614019576864,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.96,-154.9059986971099,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.97,-154.9058579652863,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.98,-154.9057180191419,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.99,-154.90557887637738,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.0,-154.90544055359342,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.01,-154.90530306633286,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.02,-154.90516642912127,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.03,-154.90503065550618,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.04,-154.90489575809517,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.05,-154.90476174859236,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.06,-154.90462863783387,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.07,-154.90449643582198,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.08,-154.90436515175818,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.09,-154.90423479407505,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.1,-154.904105370467,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.11,-154.9039768879201,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.12,-154.90384935274068,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.13,-154.9037227705832,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.14,-154.90359714647673,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.15,-154.90347248485116,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.16,-154.9033487895618,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.17,-154.90322606391362,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.18,-154.90310431068443,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.19,-154.9029835321473,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.2,-154.9028637300921,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.21,-154.90274490584648,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.22,-154.90262706029597,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.23,-154.90251019390337,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.24,-154.90239430672742,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.25,-154.90227939844098,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.26,-154.9021654683484,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.27,-154.90205251540223,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.28,-154.90194053821955,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.29,-154.90182953509753,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.3,-154.90171950402845,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.31,-154.90161044271417,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.32,-154.90150234858027,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.33,-154.90139521878928,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.34,-154.90128905025392,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.35,-154.90118383964935,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.36,-154.9010795834254,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.37,-154.9009762778181,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.38,-154.90087391886087,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.39,-154.90077250239517,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.4,-154.90067202408102,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.41,-154.90057247940686,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.42,-154.9004738636992,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.43,-154.90037617213179,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.44,-154.90027939973447,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.45,-154.9001835414019,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.46,-154.90008859190155,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.47,-154.89999454588175,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.48,-154.8999013978792,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.49,-154.89980914232638,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.5,-154.8997177735584,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,4.51,-154.89962728581992,-154.89046102504255,AB
