stacking,disregistry,d,energy,energy_err
AB,0.0,3.0,-0.00826144051029587,0.000328408589617592
AB,0.0,3.2,-0.01866944225994871,0.0002776689914920026
AB,0.0,3.35,-0.021991565875339347,0.00026426731442532453
AB,0.0,3.5,-0.022644710689263547,0.00028204025445310887
AB,0.0,3.65,-0.020876135981268362,0.000373903996584975
AB,0.0,3.8,-0.01863325279100536,0.00023016355784434423
AB,0.0,4.0,-0.016438232513849016,0.00027804048347075173
AB,0.0,4.5,-0.009872604648876404,0.00025579384749631714
AB,0.0,5.0,-0.006022166050030364,0.00023527671014632564
AB,0.0,6.0,-0.0032061122383595375,0.0002174740754617492
AB,0.0,7.0,-0.002288297360735214,0.00022122277072332842
SP,0.16667,3.0,-0.005060997197006145,0.0001449699432391637
SP,0.16667,3.2,-0.017831660796758797,0.0001745750961273366
SP,0.16667,3.35,-0.02114910265117942,0.00014675773809715698
SP,0.16667,3.5,-0.02213147187984532,0.00016366168398396577
SP,0.16667,3.65,-0.021082214478155947,0.00019361766089320687
SP,0.16667,3.8,-0.018859989546342604,0.00026248349926866145
SP,0.16667,4.0,-0.015940046769344463,0.00015248515987643604
SP,0.16667,4.5,-0.009847219679016916,0.00019675091359330364
SP,0.16667,5.0,-0.005666223625667044,0.0001811920852881056
SP,0.16667,6.0,-0.0029118263892371488,0.00017093685666960706
SP,0.16667,7.0,-0.001842422108751407,0.00015226179678324943
Mid,0.5,3.0,0.0031400265247043535,0.0002839309666854704
Mid,0.5,3.2,-0.012825222170903317,0.0002119590097386526
Mid,0.5,3.35,-0.017781561184676775,0.0002741314913113757
Mid,0.5,3.5,-0.019530079023553526,0.0002712241272906982
Mid,0.5,3.65,-0.019872227961769795,0.0002740886824627545
Mid,0.5,3.8,-0.018251868959964668,0.00021677187716301495
Mid,0.5,4.0,-0.01584847036122028,0.00022923379666264058
Mid,0.5,4.5,-0.009597751820678013,0.0002388315661657376
Mid,0.5,5.0,-0.005948869560171488,0.00033187456505889124
Mid,0.5,6.0,-0.0029672206128168455,0.00020563647212970817
Mid,0.5,7.0,-0.0021286054256108855,0.00021475882160286127
AA,0.66667,3.0,0.01996162876233143,0.00020291739523343503
AA,0.66667,3.2,-0.004309215780295972,0.00040647329311042886
AA,0.66667,3.35,-0.013283182901631108,0.00024371131382122646
AA,0.66667,3.5,-0.016874469292361027,0.0002878172604445547
AA,0.66667,3.65,-0.018094823896603884,0.00030420912111045267
AA,0.66667,3.8,-0.016945160300508633,0.00022497705849020122
AA,0.66667,4.0,-0.015213437000170416,0.00037086559148007727
AA,0.66667,4.5,-0.009970967347271653,0.0002508774695371889
AA,0.66667,5.0,-0.005804297157880001,0.00027757293303028424
AA,0.66667,6.0,-0.0031428100627977074,0.0002369961091182125
AA,0.66667,7.0,-0.0016232922045844589,0.00031879963305505215
