d,disregistry,energy,energy_inf,label,stacking
3.43,0.0,-154.61255099359715,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.44,0.0,-154.61256167933402,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.45,0.0,-154.61256404596836,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.46,0.0,-154.6125584440671,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.47,0.0,-154.61254521231206,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.48,0.0,-154.61252467787395,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.49,0.0,-154.61249715677536,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.5,0.0,-154.6124629542425,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.51,0.0,-154.61242236504629,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.52,0.0,-154.61237567383313,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.53,0.0,-154.6123231554457,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.54,0.0,-154.6122650752336,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.55,0.0,-154.6122016893552,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.56,0.0,-154.61213324506946,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.57,0.0,-154.61205998101963,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.58,0.0,-154.61198212750764,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.59,0.0,-154.61189990676064,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.6,0.0,-154.61181353318895,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.61,0.0,-154.61172321363625,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.62,0.0,-154.61162914762238,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.63,0.0,-154.6115315275782,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.64,0.0,-154.61143053907358,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.65,0.0,-154.6113263610384,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.66,0.0,-154.61121916597645,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.67,0.0,-154.6111091201731,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.68,0.0,-154.61099638389635,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.69,0.0,-154.61088111159177,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
