stacking,disregistry,d,energy,energy_err
AB,0.0,3.0,-0.009020840496475557,0.000328408589617592
AB,0.0,3.2,-0.019428842246128397,0.0002776689914920026
AB,0.0,3.35,-0.022750965861519035,0.00026426731442532453
AB,0.0,3.5,-0.023404110675443235,0.00028204025445310887
AB,0.0,3.65,-0.02163553596744805,0.000373903996584975
AB,0.0,3.8,-0.01939265277718505,0.00023016355784434423
AB,0.0,4.0,-0.017197632500028703,0.00027804048347075173
AB,0.0,4.5,-0.010632004635056092,0.00025579384749631714
AB,0.0,5.0,-0.006781566036210052,0.00023527671014632564
AB,0.0,6.0,-0.003965512224539225,0.0002174740754617492
AB,0.0,7.0,-0.0030476973469149016,0.00022122277072332842
SP,0.16667,3.0,-0.0058203971831858325,0.0001449699432391637
SP,0.16667,3.2,-0.018591060782938484,0.0001745750961273366
SP,0.16667,3.35,-0.021908502637359106,0.00014675773809715698
SP,0.16667,3.5,-0.02289087186602501,0.00016366168398396577
SP,0.16667,3.65,-0.021841614464335635,0.00019361766089320687
SP,0.16667,3.8,-0.01961938953252229,0.00026248349926866145
SP,0.16667,4.0,-0.01669944675552415,0.00015248515987643604
SP,0.16667,4.5,-0.010606619665196604,0.00019675091359330364
SP,0.16667,5.0,-0.006425623611846731,0.0001811920852881056
SP,0.16667,6.0,-0.003671226375416836,0.00017093685666960706
SP,0.16667,7.0,-0.0026018220949310944,0.00015226179678324943
Mid,0.5,3.0,0.002380626538524666,0.0002839309666854704
Mid,0.5,3.2,-0.013584622157083004,0.0002119590097386526
Mid,0.5,3.35,-0.018540961170856463,0.0002741314913113757
Mid,0.5,3.5,-0.020289479009733213,0.0002712241272906982
Mid,0.5,3.65,-0.020631627947949482,0.0002740886824627545
Mid,0.5,3.8,-0.019011268946144355,0.00021677187716301495
Mid,0.5,4.0,-0.016607870347399967,0.00022923379666264058
Mid,0.5,4.5,-0.0103571518068577,0.0002388315661657376
Mid,0.5,5.0,-0.0067082695463511754,0.00033187456505889124
Mid,0.5,6.0,-0.003726620598996533,0.00020563647212970817
Mid,0.5,7.0,-0.002888005411790573,0.00021475882160286127
AA,0.66667,3.0,0.019202228776151742,0.00020291739523343503
AA,0.66667,3.2,-0.005068615766475659,0.00040647329311042886
AA,0.66667,3.35,-0.014042582887810795,0.00024371131382122646
AA,0.66667,3.5,-0.017633869278540715,0.0002878172604445547
AA,0.66667,3.65,-0.018854223882783572,0.00030420912111045267
AA,0.66667,3.8,-0.01770456028668832,0.00022497705849020122
AA,0.66667,4.0,-0.015972836986350103,0.00037086559148007727
AA,0.66667,4.5,-0.01073036733345134,0.0002508774695371889
AA,0.66667,5.0,-0.006563697144059688,0.00027757293303028424
AA,0.66667,6.0,-0.0039022100489773948,0.0002369961091182125
AA,0.66667,7.0,-0.0023826921907641463,0.00031879963305505215
