stacking,disregistry,d,energy,energy_err
AB,0.0,3.0,-0.008408032826480394,0.000328408589617592
AB,0.0,3.2,-0.018816034576133234,0.0002776689914920026
AB,0.0,3.35,-0.02213815819152387,0.00026426731442532453
AB,0.0,3.5,-0.02279130300544807,0.00028204025445310887
AB,0.0,3.65,-0.021022728297452886,0.000373903996584975
AB,0.0,3.8,-0.018779845107189885,0.00023016355784434423
AB,0.0,4.0,-0.01658482483003354,0.00027804048347075173
AB,0.0,4.5,-0.010019196965060928,0.00025579384749631714
AB,0.0,5.0,-0.006168758366214888,0.00023527671014632564
AB,0.0,6.0,-0.0033527045545440615,0.0002174740754617492
AB,0.0,7.0,-0.002434889676919738,0.00022122277072332842
SP,0.16667,3.0,-0.005207589513190669,0.0001449699432391637
SP,0.16667,3.2,-0.01797825311294332,0.0001745750961273366
SP,0.16667,3.35,-0.021295694967363943,0.00014675773809715698
SP,0.16667,3.5,-0.022278064196029845,0.00016366168398396577
SP,0.16667,3.65,-0.02122880679434047,0.00019361766089320687
SP,0.16667,3.8,-0.019006581862527128,0.00026248349926866145
SP,0.16667,4.0,-0.016086639085528986,0.00015248515987643604
SP,0.16667,4.5,-0.00999381199520144,0.00019675091359330364
SP,0.16667,5.0,-0.005812815941851568,0.0001811920852881056
SP,0.16667,6.0,-0.0030584187054216727,0.00017093685666960706
SP,0.16667,7.0,-0.001989014424935931,0.00015226179678324943
Mid,0.5,3.0,0.0029934342085198296,0.0002839309666854704
Mid,0.5,3.2,-0.01297181448708784,0.0002119590097386526
Mid,0.5,3.35,-0.0179281535008613,0.0002741314913113757
Mid,0.5,3.5,-0.01967667133973805,0.0002712241272906982
Mid,0.5,3.65,-0.02001882027795432,0.0002740886824627545
Mid,0.5,3.8,-0.01839846127614919,0.00021677187716301495
Mid,0.5,4.0,-0.015995062677404803,0.00022923379666264058
Mid,0.5,4.5,-0.009744344136862537,0.0002388315661657376
Mid,0.5,5.0,-0.006095461876356012,0.00033187456505889124
Mid,0.5,6.0,-0.0031138129290013694,0.00020563647212970817
Mid,0.5,7.0,-0.0022751977417954095,0.00021475882160286127
AA,0.66667,3.0,0.019815036446146905,0.00020291739523343503
AA,0.66667,3.2,-0.004455808096480496,0.00040647329311042886
AA,0.66667,3.35,-0.013429775217815632,0.00024371131382122646
AA,0.66667,3.5,-0.01702106160854555,0.0002878172604445547
AA,0.66667,3.65,-0.01824141621278841,0.00030420912111045267
AA,0.66667,3.8,-0.017091752616693157,0.00022497705849020122
AA,0.66667,4.0,-0.01536002931635494,0.00037086559148007727
AA,0.66667,4.5,-0.010117559663456177,0.0002508774695371889
AA,0.66667,5.0,-0.005950889474064525,0.00027757293303028424
AA,0.66667,6.0,-0.0032894023789822313,0.0002369961091182125
AA,0.66667,7.0,-0.0017698845207689828,0.00031879963305505215
