stacking,disregistry,d,energy,energy_err
AB,0.0,3.0,-0.00813069983885839,0.000328408589617592
AB,0.0,3.2,-0.01853870158851123,0.0002776689914920026
AB,0.0,3.35,-0.021860825203901868,0.00026426731442532453
AB,0.0,3.5,-0.022513970017826068,0.00028204025445310887
AB,0.0,3.65,-0.020745395309830883,0.000373903996584975
AB,0.0,3.8,-0.018502512119567882,0.00023016355784434423
AB,0.0,4.0,-0.016307491842411537,0.00027804048347075173
AB,0.0,4.5,-0.009741863977438925,0.00025579384749631714
AB,0.0,5.0,-0.005891425378592885,0.00023527671014632564
AB,0.0,6.0,-0.0030753715669220583,0.0002174740754617492
AB,0.0,7.0,-0.002157556689297735,0.00022122277072332842
SP,0.16667,3.0,-0.004930256525568666,0.0001449699432391637
SP,0.16667,3.2,-0.017700920125321318,0.0001745750961273366
SP,0.16667,3.35,-0.02101836197974194,0.00014675773809715698
SP,0.16667,3.5,-0.022000731208407842,0.00016366168398396577
SP,0.16667,3.65,-0.020951473806718468,0.00019361766089320687
SP,0.16667,3.8,-0.018729248874905124,0.00026248349926866145
SP,0.16667,4.0,-0.015809306097906983,0.00015248515987643604
SP,0.16667,4.5,-0.009716479007579437,0.00019675091359330364
SP,0.16667,5.0,-0.005535482954229565,0.0001811920852881056
SP,0.16667,6.0,-0.0027810857177996695,0.00017093685666960706
SP,0.16667,7.0,-0.0017116814373139277,0.00015226179678324943
Mid,0.5,3.0,0.0032707671961418328,0.0002839309666854704
Mid,0.5,3.2,-0.012694481499465837,0.0002119590097386526
Mid,0.5,3.35,-0.017650820513239296,0.0002741314913113757
Mid,0.5,3.5,-0.019399338352116047,0.0002712241272906982
Mid,0.5,3.65,-0.019741487290332316,0.0002740886824627545
Mid,0.5,3.8,-0.01812112828852719,0.00021677187716301495
Mid,0.5,4.0,-0.0157177296897828,0.00022923379666264058
Mid,0.5,4.5,-0.009467011149240534,0.0002388315661657376
Mid,0.5,5.0,-0.005818128888734009,0.00033187456505889124
Mid,0.5,6.0,-0.002836479941379366,0.00020563647212970817
Mid,0.5,7.0,-0.0019978647541734063,0.00021475882160286127
AA,0.66667,3.0,0.02009236943376891,0.00020291739523343503
AA,0.66667,3.2,-0.004178475108858493,0.00040647329311042886
AA,0.66667,3.35,-0.013152442230193628,0.00024371131382122646
AA,0.66667,3.5,-0.016743728620923548,0.0002878172604445547
AA,0.66667,3.65,-0.017964083225166405,0.00030420912111045267
AA,0.66667,3.8,-0.016814419629071153,0.00022497705849020122
AA,0.66667,4.0,-0.015082696328732936,0.00037086559148007727
AA,0.66667,4.5,-0.009840226675834174,0.0002508774695371889
AA,0.66667,5.0,-0.005673556486442521,0.00027757293303028424
AA,0.66667,6.0,-0.003012069391360228,0.0002369961091182125
AA,0.66667,7.0,-0.0014925515331469796,0.00031879963305505215
