d,disregistry,energy,energy_inf,label,stacking
3.44,0.0,-154.6122635658356,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.45,0.0,-154.61225074674434,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.46,0.0,-154.61223066848183,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.47,0.0,-154.61220365708343,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.48,0.0,-154.61217002698086,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.49,0.0,-154.61213008138512,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.5,0.0,-154.61208411265724,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.51,0.0,-154.6120324026676,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.52,0.0,-154.61197522314316,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.53,0.0,-154.61191283600414,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.54,0.0,-154.6118454936897,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.55,0.0,-154.6117734394733,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.56,0.0,-154.61169690776782,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.57,0.0,-154.61161612442115,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.58,0.0,-154.6115313070021,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.59,0.0,-154.61144266507725,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.6,0.0,-154.61135040047893,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.61,0.0,-154.61125470756446,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.62,0.0,-154.6111557734673,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.63,0.0,-154.61105377833974,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.64,0.0,-154.61094889558834,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.65,0.0,-154.6108412921011,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.66,0.0,-154.61073112846796,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.67,0.0,-154.61061855919365,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.68,0.0,-154.61050373290408,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.69,0.0,-154.61038679254574,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.7,0.0,-154.61026787557878,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.71,0.0,-154.61014711416402,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.72,0.0,-154.61002463534345,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.73,0.0,-154.6099005612153,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.74,0.0,-154.6097750091033,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.75,0.0,-154.6096480917202,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.76,0.0,-154.60951991732642,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.77,0.0,-154.60939058988305,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.78,0.0,-154.60926020920027,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.79,0.0,-154.60912887108066,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.8,0.0,-154.60899666745794,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.81,0.0,-154.60886368653118,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.82,0.0,-154.6087300128945,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.83,0.0,-154.6085957276628,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.84,0.0,-154.60846090859292,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.85,0.0,-154.6083256302013,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.86,0.0,-154.60818996387752,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.87,0.0,-154.60805397799396,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.88,0.0,-154.60791773801228,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.89,0.0,-154.607781306586,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.9,0.0,-154.6076447436598,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.91,0.0,-154.60750810656563,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.92,0.0,-154.60737145011566,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.93,0.0,-154.60723482669192,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.94,0.0,-154.60709828633316,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.95,0.0,-154.60696187681884,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.96,0.0,-154.60682564375026,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.97,0.0,-154.60668963062898,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.98,0.0,-154.6065538789327,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.99,0.0,-154.60641842818842,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.0,0.0,-154.60628331604352,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.01,0.0,-154.60614857833409,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.02,0.0,-154.60601424915112,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.03,0.0,-154.6058803609045,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.04,0.0,-154.60574694438492,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.05,0.0,-154.6056140288235,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.06,0.0,-154.60548164194952,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.07,0.0,-154.60534981004633,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.08,0.0,-154.60521855800513,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.09,0.0,-154.60508790937706,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.1,0.0,-154.60495788642362,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.11,0.0,-154.60482851016513,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.12,0.0,-154.60469980042782,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.13,0.0,-154.6045717758891,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.14,0.0,-154.6044444541214,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.15,0.0,-154.6043178516345,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.16,0.0,-154.60419198391642,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.17,0.0,-154.60406686547287,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.18,0.0,-154.6039425098653,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.19,0.0,-154.60381892974786,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.2,0.0,-154.60369613690284,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.21,0.0,-154.60357414227494,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.22,0.0,-154.60345295600456,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.23,0.0,-154.6033325874596,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.24,0.0,-154.6032130452665,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.25,0.0,-154.60309433733994,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.26,0.0,-154.6029764709116,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.27,0.0,-154.60285945255802,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.28,0.0,-154.60274328822732,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.29,0.0,-154.602627983265,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.3,0.0,-154.602513542439,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.31,0.0,-154.60239996996373,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.32,0.0,-154.60228726952323,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.33,0.0,-154.60217544429372,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.34,0.0,-154.602064496965,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.35,0.0,-154.60195442976146,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.36,0.0,-154.60184524446217,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.37,0.0,-154.6017369424201,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.38,0.0,-154.60162952458103,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.39,0.0,-154.60152299150144,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.4,0.0,-154.6014173433659,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.41,0.0,-154.60131258000388,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.42,0.0,-154.60120870090577,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.43,0.0,-154.6011057052386,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.44,0.0,-154.60100359186092,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.45,0.0,-154.60090235933725,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.46,0.0,-154.6008020059521,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.47,0.0,-154.60070252972324,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.48,0.0,-154.60060392841476,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.49,0.0,-154.6005061995494,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.5,0.0,-154.60040934042058,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.51,0.0,-154.60031334810395,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.52,0.0,-154.6002182194685,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.53,0.0,-154.60012395118721,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.54,0.0,-154.6000305397474,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.55,0.0,-154.59993798146058,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.56,0.0,-154.59984627247204,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.57,0.0,-154.59975540876997,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.58,0.0,-154.59966538619432,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.59,0.0,-154.5995762004453,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.6,0.0,-154.59948784709147,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.61,0.0,-154.59940032157766,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.62,0.0,-154.59931361923248,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.63,0.0,-154.59922773527558,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.64,0.0,-154.59914266482463,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.65,0.0,-154.59905840290193,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.66,0.0,-154.59897494444104,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.67,0.0,-154.5988922842927,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.68,0.0,-154.598810417231,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.69,0.0,-154.5987293379589,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.7,0.0,-154.5986490411138,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.71,0.0,-154.59856952127274,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.72,0.0,-154.59849077295743,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.73,0.0,-154.59841279063914,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.74,0.0,-154.59833556874324,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.75,0.0,-154.5982591016537,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.76,0.0,-154.59818338371733,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.77,0.0,-154.59810840924783,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.78,0.0,-154.59803417252974,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.79,0.0,-154.59796066782215,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.8,0.0,-154.5978878893623,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.81,0.0,-154.59781583136896,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.82,0.0,-154.59774448804572,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.83,0.0,-154.5976738535842,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.84,0.0,-154.597603922167,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.85,0.0,-154.59753468797047,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.86,0.0,-154.59746614516757,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.87,0.0,-154.59739828793045,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.88,0.0,-154.59733111043292,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.89,0.0,-154.59726460685286,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.9,0.0,-154.59719877137442,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.91,0.0,-154.59713359819028,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.92,0.0,-154.59706908150363,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.93,0.0,-154.59700521553015,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.94,0.0,-154.59694199449993,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.95,0.0,-154.59687941265915,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.96,0.0,-154.5968174642718,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.97,0.0,-154.59675614362138,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
4.98,0.0,-154.59669544501222,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
