stacking,disregistry,d,energy,energy_err
AB,0.0,3.0,-0.011103861447935515,0.000328408589617592
AB,0.0,3.2,-0.021511863197588355,0.0002776689914920026
AB,0.0,3.35,-0.024833986812978992,0.00026426731442532453
AB,0.0,3.5,-0.025487131626903192,0.00028204025445310887
AB,0.0,3.65,-0.023718556918908007,0.000373903996584975
AB,0.0,3.8,-0.021475673728645006,0.00023016355784434423
AB,0.0,4.0,-0.01928065345148866,0.00027804048347075173
AB,0.0,4.5,-0.012715025586516049,0.00025579384749631714
AB,0.0,5.0,-0.008864586987670009,0.00023527671014632564
AB,0.0,6.0,-0.006048533175999182,0.0002174740754617492
AB,0.0,7.0,-0.005130718298374859,0.00022122277072332842
SP,0.16667,3.0,-0.00790341813464579,0.0001449699432391637
SP,0.16667,3.2,-0.020674081734398442,0.0001745750961273366
SP,0.16667,3.35,-0.023991523588819064,0.00014675773809715698
SP,0.16667,3.5,-0.024973892817484966,0.00016366168398396577
SP,0.16667,3.65,-0.023924635415795592,0.00019361766089320687
SP,0.16667,3.8,-0.02170241048398225,0.00026248349926866145
SP,0.16667,4.0,-0.018782467706984107,0.00015248515987643604
SP,0.16667,4.5,-0.012689640616656561,0.00019675091359330364
SP,0.16667,5.0,-0.008508644563306689,0.0001811920852881056
SP,0.16667,6.0,-0.0057542473268767935,0.00017093685666960706
SP,0.16667,7.0,-0.004684843046391052,0.00015226179678324943
Mid,0.5,3.0,0.00029760558706470874,0.0002839309666854704
Mid,0.5,3.2,-0.01566764310854296,0.0002119590097386526
Mid,0.5,3.35,-0.02062398212231642,0.0002741314913113757
Mid,0.5,3.5,-0.02237249996119317,0.0002712241272906982
Mid,0.5,3.65,-0.02271464889940944,0.0002740886824627545
Mid,0.5,3.8,-0.021094289897604313,0.00021677187716301495
Mid,0.5,4.0,-0.018690891298859924,0.00022923379666264058
Mid,0.5,4.5,-0.012440172758317658,0.0002388315661657376
Mid,0.5,5.0,-0.008791290497811133,0.00033187456505889124
Mid,0.5,6.0,-0.00580964155045649,0.00020563647212970817
Mid,0.5,7.0,-0.00497102636325053,0.00021475882160286127
AA,0.66667,3.0,0.017119207824691784,0.00020291739523343503
AA,0.66667,3.2,-0.007151636717935617,0.00040647329311042886
AA,0.66667,3.35,-0.016125603839270752,0.00024371131382122646
AA,0.66667,3.5,-0.019716890230000672,0.0002878172604445547
AA,0.66667,3.65,-0.02093724483424353,0.00030420912111045267
AA,0.66667,3.8,-0.019787581238148277,0.00022497705849020122
AA,0.66667,4.0,-0.01805585793781006,0.00037086559148007727
AA,0.66667,4.5,-0.012813388284911298,0.0002508774695371889
AA,0.66667,5.0,-0.008646718095519645,0.00027757293303028424
AA,0.66667,6.0,-0.005985231000437352,0.0002369961091182125
AA,0.66667,7.0,-0.004465713142224104,0.00031879963305505215
