vdw_corr,stacking,disregistry,d,energy
dft-d,SP,0.16667,3.76,-154.90864466666326
dft-d,SP,0.16667,3.77,-154.908509460096
dft-d,SP,0.16667,3.78,-154.90837585219765
dft-d,SP,0.16667,3.79,-154.90823996534579
dft-d,SP,0.16667,3.8,-154.9081015954551
dft-d,SP,0.16667,4.0,-154.90534069435935
dft-d,SP,0.16667,4.5,-154.89985705613478
dft-d,SP,0.16667,5.0,-154.89628818100178
dft-d,SP,0.16667,6.0,-154.892773286453
dft-d,SP,0.16667,7.0,-154.89162935385863
dft-d,Mid,0.5,3.0,-154.90044808740828
dft-d,Mid,0.5,3.2,-154.90942784432627
dft-d,Mid,0.5,3.21,-154.90964240609384
dft-d,Mid,0.5,3.22,-154.90983557291028
dft-d,Mid,0.5,3.23,-154.91000989584288
dft-d,Mid,0.5,3.24,-154.91016585109085
dft-d,Mid,0.5,3.25,-154.91030190801385
dft-d,Mid,0.5,3.26,-154.9104203115511
dft-d,Mid,0.5,3.27,-154.91052636792259
dft-d,Mid,0.5,3.28,-154.9106302473833
dft-d,Mid,0.5,3.29,-154.91072528314402
dft-d,Mid,0.5,3.3,-154.9108186522074
dft-d,Mid,0.5,3.31,-154.91090610279468
dft-d,Mid,0.5,3.32,-154.91097862113463
dft-d,Mid,0.5,3.33,-154.91103460855845
dft-d,Mid,0.5,3.34,-154.91107777261726
dft-d,Mid,0.5,3.35,-154.91110841943916
dft-d,Mid,0.5,3.36,-154.91112607282494
dft-d,Mid,0.5,3.37,-154.91113042664648
dft-d,Mid,0.5,3.38,-154.9111227394303
dft-d,Mid,0.5,3.39,-154.91111219501877
dft-d,Mid,0.5,3.4,-154.91110375948955
dft-d,Mid,0.5,3.41,-154.91109192253725
dft-d,Mid,0.5,3.42,-154.91108294278033
dft-d,Mid,0.5,3.43,-154.91106981328727
dft-d,Mid,0.5,3.44,-154.91104549311228
dft-d,Mid,0.5,3.45,-154.91101073056845
dft-d,Mid,0.5,3.46,-154.91096668213962
dft-d,Mid,0.5,3.47,-154.91091361993966
dft-d,Mid,0.5,3.48,-154.91085120382624
dft-d,Mid,0.5,3.49,-154.91077929774244
dft-d,Mid,0.5,3.5,-154.91069997655632
dft-d,Mid,0.5,3.51,-154.91062453299253
dft-d,Mid,0.5,3.52,-154.91055221873793
dft-d,Mid,0.5,3.53,-154.9104819453372
dft-d,Mid,0.5,3.54,-154.91041663801417
dft-d,Mid,0.5,3.55,-154.91034650067036
dft-d,Mid,0.5,3.56,-154.91026813188273
dft-d,Mid,0.5,3.57,-154.91018217792163
dft-d,Mid,0.5,3.58,-154.9100895911855
dft-d,Mid,0.5,3.59,-154.90999043970288
dft-d,Mid,0.5,3.6,-154.90988411121754
dft-d,Mid,0.5,3.61,-154.90977043565837
dft-d,Mid,0.5,3.62,-154.90965437910307
dft-d,Mid,0.5,3.63,-154.90954614582083
dft-d,Mid,0.5,3.64,-154.9094402595205
dft-d,Mid,0.5,3.65,-154.90934100599517
dft-d,Mid,0.5,3.66,-154.90924593622023
dft-d,Mid,0.5,3.67,-154.90914603642452
dft-d,Mid,0.5,3.68,-154.9090396399107
dft-d,Mid,0.5,3.69,-154.90892763104887
dft-d,Mid,0.5,3.7,-154.90881058808085
dft-d,Mid,0.5,3.71,-154.90868834093553
dft-d,Mid,0.5,3.72,-154.90856017531408
dft-d,Mid,0.5,3.73,-154.9084266014299
dft-d,Mid,0.5,3.74,-154.90829489832845
dft-d,Mid,0.5,3.75,-154.90817265118312
dft-d,Mid,0.5,3.76,-154.90805275101974
dft-d,Mid,0.5,3.77,-154.90794244286943
dft-d,Mid,0.5,3.78,-154.90783427761565
dft-d,Mid,0.5,3.79,-154.90772118029838
dft-d,Mid,0.5,3.8,-154.9076028447896
dft-d,Mid,0.5,4.0,-154.90507776435567
dft-d,Mid,0.5,4.5,-154.89981348390518
dft-d,Mid,0.5,5.0,-154.8962748134091
dft-d,Mid,0.5,6.0,-154.89275675553685
dft-d,Mid,0.5,7.0,-154.89161751690634
dft-d,AA,0.66667,3.0,-154.88775482684812
dft-d,AA,0.66667,3.2,-154.90205798094968
dft-d,AA,0.66667,3.21,-154.90254135718286
dft-d,AA,0.66667,3.22,-154.9029937124376
dft-d,AA,0.66667,3.23,-154.90341661136853
dft-d,AA,0.66667,3.24,-154.90381090433138
dft-d,AA,0.66667,3.25,-154.9041758770273
dft-d,AA,0.66667,3.26,-154.90451435263753
dft-d,AA,0.66667,3.27,-154.90483296393694
dft-d,AA,0.66667,3.28,-154.90514215329446
dft-d,AA,0.66667,3.29,-154.9054351178639
dft-d,AA,0.66667,3.3,-154.9057197149326
dft-d,AA,0.66667,3.31,-154.90599043419513
dft-d,AA,0.66667,3.32,-154.90623941836424
dft-d,AA,0.66667,3.33,-154.9064664973687
dft-d,AA,0.66667,3.34,-154.9066733379059
dft-d,AA,0.66667,3.35,-154.90686096040272
dft-d,AA,0.66667,3.36,-154.9070296029588
dft-d,AA,0.66667,3.37,-154.90717902747446
dft-d,AA,0.66667,3.38,-154.90731100268977
dft-d,AA,0.66667,3.39,-154.90743522266047
dft-d,AA,0.66667,3.4,-154.90755729973463
dft-d,AA,0.66667,3.41,-154.9076715195215
dft-d,AA,0.66667,3.42,-154.90778550120874
dft-d,AA,0.66667,3.43,-154.907889754826
dft-d,AA,0.66667,3.44,-154.90797877006784
dft-d,AA,0.66667,3.45,-154.90805288707665
dft-d,AA,0.66667,3.46,-154.90811356846433
dft-d,AA,0.66667,3.47,-154.90816115437315
dft-d,AA,0.66667,3.48,-154.9081956107889
dft-d,AA,0.66667,3.49,-154.9082165295408
dft-d,AA,0.66667,3.5,-154.90822710796655
dft-d,AA,0.66667,3.51,-154.908238672805
dft-d,AA,0.66667,3.52,-154.90825040771463
dft-d,AA,0.66667,3.53,-154.90826136029693
dft-d,AA,0.66667,3.54,-154.90827523810307
dft-d,AA,0.66667,3.55,-154.90828132665038
