label,disregistry,d,energy,energy_inf,stacking
fit/QMC-kTinf,0.0,3.57,-154.61168818600277,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.58,-154.61160343927185,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.59,-154.6115148984727,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.6,-154.6114227620849,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.61,-154.61132722130912,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.62,-154.61122846030887,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.63,-154.61112665644475,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.64,-154.61102198050108,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.65,-154.61091459690545,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.66,-154.61080466394108,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.67,-154.6106923339527,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.68,-154.6105777535455,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.69,-154.61046106377802,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.7,-154.61034240034869,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.71,-154.61022189377644,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.72,-154.6100996695755,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.73,-154.60997584842468,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.74,-154.6098505463311,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.75,-154.60972387478873,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.76,-154.60959594093174,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.77,-154.60946684768308,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.78,-154.60933669389806,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.79,-154.60920557450345,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.8,-154.60907358063204,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.81,-154.6089407997528,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.82,-154.60880731579687,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.83,-154.60867320927954,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.84,-154.60853855741814,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.85,-154.60840343424618,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.86,-154.60826791072375,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.87,-154.60813205484436,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.88,-154.60799593173823,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.89,-154.60785960377237,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.9,-154.60772313064714,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.91,-154.60758656948994,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.92,-154.60744997494564,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.93,-154.607313399264,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.94,-154.60717689238456,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.95,-154.6070405020182,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.96,-154.60690427372666,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.97,-154.6067682509988,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.98,-154.6066324753249,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.99,-154.60649698626807,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.0,-154.60636182153368,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.01,-154.60622701703616,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.02,-154.60609260696378,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.03,-154.6059586238413,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.04,-154.6058250985904,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.05,-154.60569206058815,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.06,-154.60555953772374,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.07,-154.6054275564529,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.08,-154.60529614185086,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.09,-154.6051653176635,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.1,-154.6050351063565,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.11,-154.60490552916326,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.12,-154.60477660613086,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.13,-154.60464835616466,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.14,-154.60452079707136,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.15,-154.60439394560052,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.16,-154.60426781748487,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.17,-154.60414242747908,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.18,-154.6040177893972,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.19,-154.60389391614902,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.2,-154.60377081977504,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.21,-154.60364851148015,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.22,-154.60352700166652,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.23,-154.60340629996492,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.24,-154.6032864152653,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.25,-154.60316735574614,-154.59037872224192,AB
fit/QMC-kTinf,0.0,4.26,-154.60304912890294,-154.59037872224192,AB
