stacking,disregistry,d,energy,energy_err
AB,0.0,3.0,-0.008009766796192253,0.000328408589617592
AB,0.0,3.2,-0.018417768545845092,0.0002776689914920026
AB,0.0,3.35,-0.02173989216123573,0.00026426731442532453
AB,0.0,3.5,-0.02239303697515993,0.00028204025445310887
AB,0.0,3.65,-0.020624462267164745,0.000373903996584975
AB,0.0,3.8,-0.018381579076901744,0.00023016355784434423
AB,0.0,4.0,-0.0161865587997454,0.00027804048347075173
AB,0.0,4.5,-0.009620930934772787,0.00025579384749631714
AB,0.0,5.0,-0.005770492335926747,0.00023527671014632564
AB,0.0,6.0,-0.00295443852425592,0.0002174740754617492
AB,0.0,7.0,-0.002036623646631597,0.00022122277072332842
SP,0.16667,3.0,-0.004809323482902528,0.0001449699432391637
SP,0.16667,3.2,-0.01757998708265518,0.0001745750961273366
SP,0.16667,3.35,-0.0208974289370758,0.00014675773809715698
SP,0.16667,3.5,-0.021879798165741704,0.00016366168398396577
SP,0.16667,3.65,-0.02083054076405233,0.00019361766089320687
SP,0.16667,3.8,-0.018608315832238986,0.00026248349926866145
SP,0.16667,4.0,-0.015688373055240845,0.00015248515987643604
SP,0.16667,4.5,-0.009595545964913299,0.00019675091359330364
SP,0.16667,5.0,-0.005414549911563427,0.0001811920852881056
SP,0.16667,6.0,-0.0026601526751335314,0.00017093685666960706
SP,0.16667,7.0,-0.0015907483946477896,0.00015226179678324943
Mid,0.5,3.0,0.003391700238807971,0.0002839309666854704
Mid,0.5,3.2,-0.012573548456799699,0.0002119590097386526
Mid,0.5,3.35,-0.017529887470573158,0.0002741314913113757
Mid,0.5,3.5,-0.01927840530944991,0.0002712241272906982
Mid,0.5,3.65,-0.019620554247666178,0.0002740886824627545
Mid,0.5,3.8,-0.01800019524586105,0.00021677187716301495
Mid,0.5,4.0,-0.015596796647116662,0.00022923379666264058
Mid,0.5,4.5,-0.009346078106574396,0.0002388315661657376
Mid,0.5,5.0,-0.005697195846067871,0.00033187456505889124
Mid,0.5,6.0,-0.002715546898713228,0.00020563647212970817
Mid,0.5,7.0,-0.0018769317115072681,0.00021475882160286127
AA,0.66667,3.0,0.020213302476435047,0.00020291739523343503
AA,0.66667,3.2,-0.0040575420661923545,0.00040647329311042886
AA,0.66667,3.35,-0.01303150918752749,0.00024371131382122646
AA,0.66667,3.5,-0.01662279557825741,0.0002878172604445547
AA,0.66667,3.65,-0.017843150182500267,0.00030420912111045267
AA,0.66667,3.8,-0.016693486586405015,0.00022497705849020122
AA,0.66667,4.0,-0.014961763286066798,0.00037086559148007727
AA,0.66667,4.5,-0.009719293633168036,0.0002508774695371889
AA,0.66667,5.0,-0.005552623443776383,0.00027757293303028424
AA,0.66667,6.0,-0.00289113634869409,0.0002369961091182125
AA,0.66667,7.0,-0.0013716184904808415,0.00031879963305505215
