label,disregistry,d,energy,energy_inf,stacking
fit/DFT-D2-kT0.009,0.0,2.8,-154.8939669542428,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.81,-154.89519015680696,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.82,-154.8963576358756,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.83,-154.8974714001841,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.84,-154.89853339117323,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.85,-154.89954548516903,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.86,-154.90050949549308,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.87,-154.90142717450618,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.88,-154.90230021558702,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.89,-154.90313025504796,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.9,-154.90391887398988,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.91,-154.90466760009824,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.92,-154.9053779093816,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.93,-154.90605122785522,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.94,-154.90668893317067,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.95,-154.9072923561937,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.96,-154.90786278253162,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.97,-154.90840145401216,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.98,-154.90890957011482,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,2.99,-154.9093882893567,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.0,-154.90983873063402,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.01,-154.91026197452055,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.02,-154.91065906452462,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.03,-154.911031008306,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.04,-154.91137877885345,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.05,-154.9117033156248,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.06,-154.91200552565044,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.07,-154.91228628460118,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.08,-154.91254643782204,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.09,-154.91278680133277,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.1,-154.91300816279605,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.11,-154.91321128245477,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.12,-154.91339689403893,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.13,-154.91356570564352,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.14,-154.9137184005779,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.15,-154.913855638188,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.16,-154.91397805465186,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.17,-154.9140862637494,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.18,-154.91418085760765,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.19,-154.91426240742143,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.2,-154.91433146415116,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.21,-154.91438855919776,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.22,-154.9144342050559,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.23,-154.9144688959459,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.24,-154.91449310842535,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.25,-154.91450730198065,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.26,-154.91451191959956,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.27,-154.91450738832503,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.28,-154.914494119791,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.29,-154.9144725107408,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.3,-154.9144429435289,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.31,-154.91440578660573,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.32,-154.91436139498742,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.33,-154.91431011070964,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.34,-154.91425226326695,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.35,-154.91418817003773,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.36,-154.91411813669512,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.37,-154.91404245760458,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.38,-154.9139614162085,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.39,-154.91387528539818,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.4,-154.91378432787343,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.41,-154.9136887964908,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.42,-154.9135889345998,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.43,-154.9134849763687,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.44,-154.91337714709908,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.45,-154.9132656635303,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.46,-154.91315073413398,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.47,-154.91303255939863,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.48,-154.91291133210493,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.49,-154.91278723759197,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.5,-154.91266045401477,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.51,-154.91253115259303,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.52,-154.9123994978519,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.53,-154.9122656478547,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.54,-154.91212975442784,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.55,-154.91199196337837,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.56,-154.91185241470438,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.57,-154.91171124279822,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.58,-154.91156857664302,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.59,-154.91142454000286,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.6,-154.91127925160626,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.61,-154.91113282532388,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.62,-154.91098537034003,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.63,-154.9108369913187,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.64,-154.91068778856376,-154.8906112868208,AB
fit/DFT-D2-kT0.009,0.0,3.65,-154.91053785817402,-154.8906112868208,AB
