stacking,disregistry,label,d,energy,energy_err,method
SP,0.16667,DFT-D2,3.28,-22.764955069083953,0,DFT-D2
SP,0.16667,DFT-D2,3.29,-22.772404185612686,0,DFT-D2
SP,0.16667,DFT-D2,3.3,-22.77600969406194,0,DFT-D2
SP,0.16667,DFT-D2,3.31,-22.773152498702984,0,DFT-D2
SP,0.16667,DFT-D2,3.32,-22.75981892022537,0,DFT-D2
SP,0.16667,DFT-D2,3.33,-22.735668816399993,0,DFT-D2
SP,0.16667,DFT-D2,3.34,-22.70192669951939,0,DFT-D2
SP,0.16667,DFT-D2,3.35,-22.658966726070503,0,DFT-D2
SP,0.16667,DFT-D2,3.36,-22.606958967255196,0,DFT-D2
SP,0.16667,DFT-D2,3.37,-22.54600546573056,0,DFT-D2
SP,0.16667,DFT-D2,3.38,-22.476922563102562,0,DFT-D2
SP,0.16667,DFT-D2,3.39,-22.40477837965591,0,DFT-D2
SP,0.16667,DFT-D2,3.4,-22.332498139323434,0,DFT-D2
SP,0.16667,DFT-D2,3.41,-22.257190632459242,0,DFT-D2
SP,0.16667,DFT-D2,3.42,-22.18276749557117,0,DFT-D2
SP,0.16667,DFT-D2,3.43,-22.104228636744665,0,DFT-D2
SP,0.16667,DFT-D2,3.44,-22.018886931822635,0,DFT-D2
SP,0.16667,DFT-D2,3.45,-21.927116537233815,0,DFT-D2
SP,0.16667,DFT-D2,3.46,-21.829325623839395,0,DFT-D2
SP,0.16667,DFT-D2,3.47,-21.725616234267363,0,DFT-D2
SP,0.16667,DFT-D2,3.48,-21.61581829743227,0,DFT-D2
SP,0.16667,DFT-D2,3.49,-21.500510055193445,0,DFT-D2
SP,0.16667,DFT-D2,3.5,-21.38091601987253,0,DFT-D2
SP,0.16667,DFT-D2,3.51,-21.26285262493184,0,DFT-D2
SP,0.16667,DFT-D2,3.52,-21.146217827656073,0,DFT-D2
SP,0.16667,DFT-D2,3.53,-21.030127258156426,0,DFT-D2
SP,0.16667,DFT-D2,3.54,-20.91682585552917,0,DFT-D2
SP,0.16667,DFT-D2,3.55,-20.79985091596609,0,DFT-D2
SP,0.16667,DFT-D2,3.56,-20.679508567554876,0,DFT-D2
SP,0.16667,DFT-D2,3.57,-20.554234155686572,0,DFT-D2
SP,0.16667,DFT-D2,3.58,-20.42504810731043,0,DFT-D2
SP,0.16667,DFT-D2,3.59,-20.29208647934138,0,DFT-D2
SP,0.16667,DFT-D2,3.6,-20.15524722900591,0,DFT-D2
SP,0.16667,DFT-D2,3.61,-20.01442831370514,0,DFT-D2
SP,0.16667,DFT-D2,3.62,-19.872282843425637,0,DFT-D2
SP,0.16667,DFT-D2,3.63,-19.734559223084943,0,DFT-D2
SP,0.16667,DFT-D2,3.64,-19.59829821472522,0,DFT-D2
SP,0.16667,DFT-D2,3.65,-19.46588081441587,0,DFT-D2
SP,0.16667,DFT-D2,3.66,-19.33601448140689,0,DFT-D2
SP,0.16667,DFT-D2,3.67,-19.203631095326273,0,DFT-D2
SP,0.16667,DFT-D2,3.68,-19.067880300426623,0,DFT-D2
SP,0.16667,DFT-D2,3.69,-18.929204281623242,0,DFT-D2
SP,0.16667,DFT-D2,3.7,-18.787943181348965,0,DFT-D2
SP,0.16667,DFT-D2,3.71,-18.64399495680118,0,DFT-D2
SP,0.16667,DFT-D2,3.72,-18.49708749417914,0,DFT-D2
SP,0.16667,DFT-D2,3.73,-18.347492907341802,0,DFT-D2
SP,0.16667,DFT-D2,3.74,-18.199326918198494,0,DFT-D2
SP,0.16667,DFT-D2,3.75,-18.056705248658545,0,DFT-D2
SP,0.16667,DFT-D2,3.76,-17.915852319129044,0,DFT-D2
SP,0.16667,DFT-D2,3.77,-17.780645751889097,0,DFT-D2
SP,0.16667,DFT-D2,3.78,-17.64703785351594,0,DFT-D2
SP,0.16667,DFT-D2,3.79,-17.51115100167226,0,DFT-D2
SP,0.16667,DFT-D2,3.8,-17.372781110956566,0,DFT-D2
SP,0.16667,DFT-D2,4.0,-14.6118800152326,0,DFT-D2
SP,0.16667,DFT-D2,4.5,-9.128241790662287,0,DFT-D2
SP,0.16667,DFT-D2,5.0,-5.559366657660576,0,DFT-D2
SP,0.16667,DFT-D2,6.0,-2.0444721088861115,0,DFT-D2
SP,0.16667,DFT-D2,7.0,-0.9005395145213697,0,DFT-D2
Mid,0.5,DFT-D2,3.0,-9.719273064139998,0,DFT-D2
Mid,0.5,DFT-D2,3.2,-18.699029982148204,0,DFT-D2
Mid,0.5,DFT-D2,3.21,-18.91359174970421,0,DFT-D2
Mid,0.5,DFT-D2,3.22,-19.10675856616581,0,DFT-D2
Mid,0.5,DFT-D2,3.23,-19.28108149874606,0,DFT-D2
Mid,0.5,DFT-D2,3.24,-19.43703674673452,0,DFT-D2
Mid,0.5,DFT-D2,3.25,-19.573093669721857,0,DFT-D2
Mid,0.5,DFT-D2,3.26,-19.691497206978966,0,DFT-D2
Mid,0.5,DFT-D2,3.27,-19.79755357844988,0,DFT-D2
Mid,0.5,DFT-D2,3.28,-19.901433039165568,0,DFT-D2
Mid,0.5,DFT-D2,3.29,-19.996468799887225,0,DFT-D2
