stacking,disregistry,d,energy,energy_err,method
AB,0.0,3.0,14.191324852028629,0.32840858961749997,QMC
AB,0.0,3.2,3.7833231023687404,0.27766899149200003,QMC
AB,0.0,3.35,0.46119948697742075,0.2642673144253,QMC
AB,0.0,3.5,-0.19194532695109956,0.2820402544531,QMC
AB,0.0,3.65,1.5766293810447678,0.37390399658490003,QMC
AB,0.0,3.8,3.8195125712954905,0.23016355784429998,QMC
AB,0.0,4.0,6.014532848465024,0.27804048347070004,QMC
AB,0.0,4.5,12.580160713434452,0.2557938474963,QMC
AB,0.0,5.0,16.430599312268896,0.2352767101463,QMC
AB,0.0,6.0,19.24665312396246,0.2174740754617,QMC
AB,0.0,7.0,20.164468001574278,0.2212227707233,QMC
SP,0.16667,3.0,17.39176816534018,0.1449699432391,QMC
SP,0.16667,3.2,4.6211045655363705,0.1745750961273,QMC
SP,0.16667,3.35,1.3036627111432608,0.1467577380971,QMC
SP,0.16667,3.5,0.32129348246962763,0.16366168398390002,QMC
SP,0.16667,3.65,1.3705508841958363,0.19361766089319998,QMC
SP,0.16667,3.8,3.5927758159814402,0.2624834992686,QMC
SP,0.16667,4.0,6.5127185929741245,0.1524851598764,QMC
SP,0.16667,4.5,12.60554568329826,0.19675091359330002,QMC
SP,0.16667,5.0,16.786541736655636,0.18119208528810002,QMC
SP,0.16667,6.0,19.540938973077573,0.1709368566696,QMC
SP,0.16667,7.0,20.61034325356013,0.15226179678319998,QMC
Mid,0.5,3.0,25.592791887029307,0.2839309666854,QMC
Mid,0.5,3.2,9.627543191396398,0.2119590097386,QMC
Mid,0.5,3.35,4.671204177633626,0.2741314913113,QMC
Mid,0.5,3.5,2.9226863387448248,0.2712241272906,QMC
Mid,0.5,3.65,2.5805374005285557,0.27408868246269996,QMC
Mid,0.5,3.8,4.2008964023552835,0.216771877163,QMC
Mid,0.5,4.0,6.60429500110331,0.2292337966626,QMC
Mid,0.5,4.5,12.855013541644439,0.2388315661657,QMC
Mid,0.5,5.0,16.50389580213232,0.33187456505880003,QMC
Mid,0.5,6.0,19.485544749506516,0.20563647212970002,QMC
Mid,0.5,7.0,20.324159936688375,0.2147588216028,QMC
AA,0.66667,3.0,42.41439412464388,0.20291739523340002,QMC
AA,0.66667,3.2,18.14354958201875,0.40647329311040004,QMC
AA,0.66667,3.35,9.169582460686797,0.2437113138212,QMC
AA,0.66667,3.5,5.578296069958014,0.2878172604445,QMC
AA,0.66667,3.65,4.357941465714248,0.3042091211104,QMC
AA,0.66667,3.8,5.507605061808135,0.2249770584902,QMC
AA,0.66667,4.0,7.239328362134984,0.37086559148000003,QMC
AA,0.66667,4.5,12.481798015040113,0.2508774695371,QMC
AA,0.66667,5.0,16.648468204424717,0.2775729330302,QMC
AA,0.66667,6.0,19.309955299511785,0.2369961091182,QMC
AA,0.66667,7.0,20.829473157733446,0.31879963305500003,QMC
