method,kT,stacking,disregistry,d,energy,energy_inf
KC-QMC,4.0,AB,0.0,3.6,0.8330345395370387,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.61,0.927977316227043,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.62,1.0265677958668675,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.63,1.1286118908028584,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.64,1.233922610670561,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.65,1.342319827643223,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.66,1.4536300497420598,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.67,1.5676862010441255,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.68,1.6843274085549638,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.69,1.8033987965609413,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.7,1.924751286598621,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.71,2.048241404554574,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.72,2.17373109338223,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.73,2.301087532105157,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.74,2.4301829601754434,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.75,2.560894508031197,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.76,2.6931040324270725,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.77,2.8266979572945274,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.78,2.961567119928077,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.79,3.097606621478917,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.8,3.234715682978276,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.81,3.372797505260678,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.82,3.511759133951273,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.83,3.6515113282075617,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.84,3.791968434379669,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.85,3.933048263133969,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.86,4.074671970825875,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.87,4.216763944510603,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.88,4.359251691028476,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.89,4.502065729146125,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.9,4.645139485452091,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.91,4.788409193803091,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.92,4.931813797855284,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.93,5.07529485647683,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.94,5.218796452769311,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.95,5.362265105533879,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.96,5.505649684142554,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.97,5.648901325621409,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.98,5.791973354906077,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.99,5.934821207309142,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.0,6.077402354043443,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.01,6.219676229433389,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.02,6.3616041612112895,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.03,6.503149302850943,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.04,6.644276567851193,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.05,6.784952566900756,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.06,6.925145545828855,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.07,7.064825327368453,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.08,7.203963253239635,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.09,7.342532128939638,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.1,7.480506170395529,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.11,7.617860951955663,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.12,7.754573356593028,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.13,7.890621527389158,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.14,8.025984820764279,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.15,8.160643761337269,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.16,8.294579998386325,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.17,8.427776263270061,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.18,8.560216328973183,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.19,8.691884970437968,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.2,8.822767926525557,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.21,8.952851863170508,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.22,9.08212433801964,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.23,9.210573765565641,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.24,9.338189384376165,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.25,9.464961224846775,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.26,9.590880078147165,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.27,9.715937466302421,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.28,9.840125613322016,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.29,9.96343741720193,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.3,10.08586642309092,-154.5893676485416
