method,kT,stacking,disregistry,d,energy,energy_inf
KC-DFT-D2,5.0,AB,0.0,3.55,-21.25185972781037,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.56,-21.111357313784538,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.57,-20.969259631965542,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.58,-20.825696687214077,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.59,-20.680793146864744,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.6,-20.53466853115242,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.61,-20.38743739775964,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.62,-20.23920951926266,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.63,-20.090090055193286,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.64,-19.940179718192667,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.65,-19.789574934140546,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.66,-19.638367997395108,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.67,-19.486647220124723,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.68,-19.33449707707041,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.69,-19.181998345069587,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.7,-19.029228237923235,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.71,-18.87626053672284,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.72,-18.723165715375217,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.73,-18.57001106257667,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.74,-18.41686079817009,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.75,-18.263776187668554,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.76,-18.11081565049244,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.77,-17.958034866285743,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.78,-17.805486876517534,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.79,-17.653222183143953,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.8,-17.50128884339938,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.81,-17.349732561968267,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.82,-17.198596779140644,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.83,-17.047922756464686,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.84,-16.89774965948891,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.85,-16.748114636953687,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.86,-16.599052898294758,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.87,-16.450597787334118,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.88,-16.302780854108278,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.89,-16.15563192407717,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.9,-16.009179164655507,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.91,-15.863449149677763,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.92,-15.718466921389336,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.93,-15.574256050487747,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.94,-15.430838693806436,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.95,-15.288235650135903,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.96,-15.146466414065799,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.97,-15.005549227789743,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.98,-14.865501131222118,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.99,-14.726338010223117,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.0,-14.588074643077562,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.01,-14.450724745576736,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.02,-14.314301014208468,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.03,-14.178815167833818,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.04,-14.044277988112299,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.05,-13.910699358122656,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.06,-13.778088299877709,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.07,-13.646453010383993,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.08,-13.515800896304427,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.09,-13.386138607602334,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.1,-13.25747206970118,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.11,-13.129806514742086,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.12,-13.003146511327941,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.13,-12.877495993627235,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.14,-12.752858289168216,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.15,-12.629236145527102,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.16,-12.506631756317802,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.17,-12.38504678584286,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.18,-12.264482393336948,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.19,-12.144939255726058,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,4.2,-12.026417590124765,-154.89072881434413
