method,kT,lim,r2,rms
DFT-D3,5,min,0.9967366490598911,0.00018562067307137517
DFT-D3,5,far,0.997763455351339,0.00023375253453196328
DFT-D3,6,min,0.9969865837282584,0.00017837090570224182
DFT-D3,6,far,0.9981537197762431,0.00021238133734615292
DFT-D3,7,min,0.9971523514608671,0.00017339542978313716
DFT-D3,7,far,0.9983442590691507,0.000201123924497812
DFT-D3,8,min,0.9972591924297534,0.00017011152016656436
DFT-D3,8,far,0.9984539635876006,0.0001943468032287793
DFT-D3,9,min,0.9973343772664606,0.00016776207717734363
DFT-D3,9,far,0.9985216343613883,0.00019004588576763558
DFT-D3,10,min,0.9973760375986227,0.00016644595943063608
DFT-D3,10,far,0.9985734252983832,0.00018668731145917022
DFT-D3,11,min,0.9974077546555348,0.00016543694610014016
DFT-D3,11,far,0.9986091637118888,0.00018433404314460497
DFT-D3,12,min,0.9974294630826317,0.0001647427744586621
DFT-D3,12,far,0.9986363353235117,0.00018252457158644998
DFT-D3,13,min,0.9974474431961252,0.00016416560093313797
DFT-D3,13,far,0.9986556243506071,0.0001812290696744136
DFT-D3,14,min,0.9974576803981144,0.0001638360715691308
DFT-D3,14,far,0.9986724055850604,0.00018009441737720794
DFT-D3,15,min,0.9974622268033743,0.00016368951279582787
DFT-D3,15,far,0.9986881275468583,0.0001790248624327056
DFT-D3,16,min,0.9974669921530332,0.00016353575510547457
DFT-D3,16,far,0.9986991419931753,0.00017827173429159186
DFT-D3,17,min,0.9974701119514212,0.0001634350140477472
DFT-D3,17,far,0.9987087755571779,0.0001776104078678819
DFT-D3,18,min,0.9974747458689178,0.0001632852660202387
DFT-D3,18,far,0.998713656261811,0.0001772744149028739
DFT-D3,19,min,0.997472889498578,0.0001633452723052161
DFT-D3,19,far,0.9987234074103963,0.0001766012209658107
DFT-D3,20,min,0.9974756257982508,0.0001632568150196139
DFT-D3,20,far,0.9987264071334877,0.00017639361114026709
DFT-D3,inf,min,0.9973769449440619,0.00016641717909444276
DFT-D3,inf,far,0.9987835377350995,0.00017239190270302063
DFT-MBD,2,min,0.9977907982440248,0.00025510979130904135
DFT-MBD,2,far,0.9884058787531372,0.0010470842040994999
DFT-MBD,3,min,0.9981060591291234,0.0002362069357581693
DFT-MBD,3,far,0.9906787323653492,0.0009388585767558612
DFT-MBD,4,min,0.9987162173844484,0.00019447115017473958
DFT-MBD,4,far,0.9934220581850721,0.0007886924855105514
DFT-MBD,5,min,0.7985576790213639,0.002436042135751045
