d,disregistry,energy,energy_inf,label,stacking
2.8,0.0,-154.56362195282102,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.81,0.0,-154.5659799987159,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.82,0.0,-154.56824515246345,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.83,0.0,-154.57042056851887,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.84,0.0,-154.5725092998662,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.85,0.0,-154.5745143011921,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.86,0.0,-154.57643843196195,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.87,0.0,-154.57828445940183,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.88,0.0,-154.58005506138883,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.89,0.0,-154.58175282925245,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.9,0.0,-154.58338027049018,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.91,0.0,-154.58493981139935,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.92,0.0,-154.5864337996281,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.93,0.0,-154.5878645066477,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.94,0.0,-154.58923413014884,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.95,0.0,-154.59054479636407,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.96,0.0,-154.59179856231853,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.97,0.0,-154.59299741801118,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.98,0.0,-154.59414328852898,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
2.99,0.0,-154.59523803609548,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.0,0.0,-154.59628346205616,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.01,0.0,-154.5972813088025,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.02,0.0,-154.5982332616364,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.03,0.0,-154.59914095057695,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.04,0.0,-154.60000595211122,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.05,0.0,-154.6008297908907,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.06,0.0,-154.60161394137546,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.07,0.0,-154.6023598294269,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.08,0.0,-154.60306883385115,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.09,0.0,-154.60374228789496,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.1,0.0,-154.60438148069443,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.11,0.0,-154.60498765867922,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.12,0.0,-154.60556202693286,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.13,0.0,-154.60610575051072,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.14,0.0,-154.60661995571704,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.15,0.0,-154.60710573134202,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.16,0.0,-154.6075641298604,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.17,0.0,-154.6079961685928,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.18,0.0,-154.60840283083047,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.19,0.0,-154.6087850669253,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.2,0.0,-154.60914379534546,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.21,0.0,-154.6094799036982,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.22,0.0,-154.6097942497206,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.23,0.0,-154.6100876622394,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.24,0.0,-154.61036094210044,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.25,0.0,-154.61061486306951,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.26,0.0,-154.61085017270446,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.27,0.0,-154.61106759320018,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.28,0.0,-154.611267822207,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.29,0.0,-154.61145153362347,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.3,0.0,-154.61161937836403,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.31,0.0,-154.61177198510276,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.32,0.0,-154.61190996099347,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.33,0.0,-154.61203389236744,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.34,0.0,-154.61214434540878,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.35,0.0,-154.6122418668089,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.36,0.0,-154.6123269844,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.37,0.0,-154.61240020776881,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.38,0.0,-154.61246202885079,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.39,0.0,-154.61251292250554,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.4,0.0,-154.61255334707417,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.41,0.0,-154.61258374491885,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
3.42,0.0,-154.61260454294538,-154.58937354178983,fit-bootstrap/QMC-15-kT0.004,AB
